Item,url,price($)
Arduino MKR WAN 1310,https://store-usa.arduino.cc/products/arduino-mkr-wan-1310,46.00
Micro-USB to USB,https://www.amazon.com/Android-Compatible-Smartphones-Charging-Stations/dp/B095JZSHXQ,1.60
Male to Male Jumper Wires,https://www.amazon.com/Solderless-Multicolored-Electronic-Breadboard-Protoboard/dp/B09FP517VM,1.00
Breadboard,https://www.amazon.com/WWZMDiB-SYB-170-Breadboard-Plates-Multicolored/dp/B09YXQJMTG,1.00
Monochrome 28x64 OLED display,https://www.addicore.com/products/oled-display-128x64-0-96in-monochrome,7.00


